年级,性别,睡眠时长_小时,自主学习时长_小时,手机_学习使用_小时,手机_娱乐使用_小时,电脑_学习使用_小时,电脑_娱乐使用_小时,平板_学习使用_小时,平板_娱乐使用_小时,考试总分,排名区间,自控力_1到5,父母教育水平,家长管控设备
高二,男,6.5,1.3,0.2,3.5,1.0,3.4,0.4,0.9,81.7,20-40%,5,本科,是
初一,男,8.7,1.0,0.2,2.1,0.8,1.2,0.5,1.3,62.1,40-60%,2,初中及以下,否
高三,男,8.0,3.3,1.0,1.8,0.8,2.7,0.1,0.1,77.3,20-40%,3,本科,是
高二,女,6.7,2.7,0.2,2.6,0.5,1.6,0.6,0.7,68.8,40-60%,4,本科,是
初二,女,9.6,1.4,2.5,1.6,0.5,1.7,0.7,0.3,82.4,20-40%,5,初中及以下,否
初一,女,6.1,1.4,0.1,2.1,0.3,1.8,0.1,0.9,60.8,40-60%,2,高中,是
高二,男,8.6,3.9,2.4,1.5,2.1,1.7,1.2,0.7,79.3,20-40%,4,本科,否
高二,女,8.7,1.2,0.7,7.3,0.4,1.9,0.0,0.7,64.3,40-60%,4,高中,否
高二,女,6.7,5.1,0.6,2.8,0.5,3.1,0.1,0.5,82.8,20-40%,3,研究生,是
高二,女,9.2,1.4,0.4,1.9,0.5,1.4,0.1,0.1,78.6,20-40%,2,研究生,否
初一,女,7.2,3.1,0.8,3.0,1.3,2.0,0.7,0.4,78.2,20-40%,5,研究生,否
初三,男,7.8,1.9,0.6,2.6,0.6,1.1,0.3,2.1,70.9,20-40%,2,高中,是
初一,男,7.8,3.0,1.5,2.4,1.6,3.3,0.0,1.4,63.5,40-60%,3,研究生,否
高三,男,7.3,1.7,0.7,3.7,0.5,0.8,0.2,0.0,69.9,40-60%,3,本科,是
高一,女,8.5,2.1,0.7,4.0,0.9,4.3,0.3,0.1,77.0,20-40%,5,高中,否
初三,男,8.5,2.3,0.5,2.1,0.4,1.2,0.0,0.1,98.7,前20%,4,初中及以下,是
初一,男,5.4,1.3,0.6,2.0,2.7,0.4,0.6,0.6,65.2,40-60%,4,初中及以下,否
初三,男,9.1,3.2,0.8,2.4,0.4,1.3,0.5,0.9,89.1,前20%,3,本科,是
初三,男,5.5,1.7,0.2,0.9,0.9,0.8,0.2,0.1,82.7,20-40%,4,本科,否
高二,女,8.7,2.0,0.2,1.3,1.1,2.2,1.0,0.4,79.9,20-40%,4,高中,是
高一,女,8.9,1.4,1.1,5.4,0.9,0.8,0.2,0.9,88.7,前20%,4,本科,是
高三,男,6.2,0.6,0.7,6.2,0.7,0.9,1.2,0.7,75.5,20-40%,5,高中,否
高一,男,7.0,2.0,0.5,2.4,0.7,0.3,0.3,0.4,71.7,20-40%,1,本科,否
初一,男,6.2,7.4,0.6,3.6,0.8,0.9,0.3,0.4,84.7,20-40%,4,高中,否
高二,男,7.2,3.3,0.8,3.2,0.7,0.2,0.1,0.4,83.3,20-40%,2,研究生,否
高二,男,7.1,2.2,0.4,10.0,1.3,0.4,0.6,0.2,78.6,20-40%,3,研究生,否
高一,男,8.4,2.0,0.3,4.8,2.8,2.1,0.2,0.4,68.3,40-60%,3,本科,否
高二,男,9.1,2.3,0.7,2.5,0.5,2.1,0.1,0.6,64.5,40-60%,3,高中,是
高一,女,9.2,2.9,0.3,1.7,0.3,1.6,0.0,1.0,75.2,20-40%,3,高中,否
高一,女,6.8,1.2,0.8,1.2,0.7,0.6,0.2,0.5,68.5,40-60%,4,本科,否
初三,男,7.2,3.9,0.2,3.0,3.5,1.2,0.2,0.7,77.1,20-40%,3,高中,否
初一,男,5.5,3.2,1.4,1.9,0.5,1.2,0.4,0.1,86.9,前20%,4,高中,否
初一,女,6.5,3.2,0.9,1.3,2.0,0.5,0.7,0.3,73.0,20-40%,3,初中及以下,是
初一,男,8.7,2.8,0.7,2.0,2.0,3.5,0.0,0.0,73.2,20-40%,2,本科,是
高一,女,9.4,2.2,1.3,1.6,0.5,2.3,0.4,0.1,79.2,20-40%,4,本科,否
初三,女,6.0,3.1,2.3,6.3,1.0,1.0,0.1,0.6,79.4,20-40%,3,研究生,否
高一,男,6.8,3.0,1.4,4.2,2.0,1.2,0.6,2.4,56.0,40-60%,3,高中,否
高三,男,7.5,1.9,0.1,2.7,0.6,1.4,0.5,0.1,70.6,20-40%,4,高中,否
初二,女,7.8,1.7,0.2,5.7,0.7,0.3,0.2,0.3,73.4,20-40%,3,本科,否
初三,男,6.5,2.3,0.4,2.8,0.5,1.0,0.4,0.8,80.0,20-40%,2,研究生,是
高二,女,8.0,4.8,0.6,1.8,0.4,0.8,0.1,0.1,76.4,20-40%,3,高中,否
初二,女,6.9,1.2,0.9,5.8,0.5,0.6,0.2,0.4,59.7,40-60%,5,本科,否
初一,女,7.5,1.1,0.3,3.6,0.4,1.0,0.5,0.7,78.4,20-40%,4,高中,是
初二,男,8.2,2.4,0.7,1.6,0.8,4.3,0.2,0.5,71.5,20-40%,4,研究生,否
初二,女,7.5,2.3,0.3,2.5,0.5,1.9,0.1,0.1,66.7,40-60%,4,初中及以下,否
高三,男,7.0,2.4,0.4,1.8,0.9,0.8,0.2,0.2,67.1,40-60%,2,研究生,是
高二,女,7.4,2.5,0.2,1.4,0.3,1.8,0.5,0.8,73.0,20-40%,3,本科,是
高一,女,7.4,2.0,0.3,4.3,0.9,3.3,0.1,0.4,68.9,40-60%,4,本科,否
高三,男,7.1,4.7,0.2,7.1,1.2,2.3,0.1,0.0,55.2,40-60%,2,初中及以下,是
高二,女,7.2,1.0,0.3,1.4,0.2,1.3,0.4,0.7,78.7,20-40%,3,本科,否
初二,女,9.4,1.5,1.4,3.6,0.9,0.8,0.5,0.0,84.7,20-40%,3,高中,否
高三,男,8.2,2.1,0.3,2.0,1.5,2.0,0.0,0.7,79.7,20-40%,3,高中,否
高一,男,7.1,1.0,4.0,2.1,0.4,1.6,0.1,0.1,68.0,40-60%,5,本科,否
高二,男,8.3,2.0,0.9,2.0,2.0,2.3,0.0,1.6,70.3,20-40%,2,研究生,是
高三,男,7.1,5.1,0.7,1.8,1.0,1.9,0.1,0.2,79.6,20-40%,3,本科,否
初三,男,8.9,2.2,0.3,2.8,0.5,2.5,0.2,0.2,76.8,20-40%,2,本科,是
初一,女,7.9,2.5,1.1,1.8,0.7,0.8,0.4,0.1,86.2,前20%,5,初中及以下,否
初二,男,7.4,1.2,0.4,3.1,1.0,3.1,0.3,0.2,62.3,40-60%,2,高中,是
初三,男,8.0,1.6,0.7,2.7,0.8,1.4,0.3,1.0,73.7,20-40%,3,初中及以下,否
高二,女,5.6,1.8,4.0,2.4,1.0,5.2,0.1,2.8,76.0,20-40%,4,本科,是
高三,男,6.1,1.9,0.6,1.7,0.4,0.8,0.6,0.2,86.8,前20%,4,研究生,是
初一,女,6.1,4.2,1.5,2.0,0.8,4.1,0.2,0.3,81.4,20-40%,3,本科,是
高一,男,7.7,2.9,0.3,4.0,0.3,1.4,1.2,0.6,80.8,20-40%,3,初中及以下,是
初三,男,9.6,1.3,0.6,3.5,0.7,0.8,0.3,1.1,74.3,20-40%,3,高中,否
初二,女,10.2,2.5,2.5,1.7,0.4,0.9,0.0,0.4,89.6,前20%,3,本科,是
初一,女,8.3,2.9,0.4,2.9,0.5,1.0,0.3,0.2,79.1,20-40%,3,高中,否
初三,女,8.1,3.9,2.6,4.0,1.6,1.6,0.1,0.3,71.0,20-40%,3,研究生,否
高三,女,5.3,4.9,1.1,1.2,1.4,1.8,0.3,0.6,89.3,前20%,3,研究生,否
初三,女,6.8,1.3,0.4,3.6,1.1,0.8,0.0,0.0,76.9,20-40%,3,本科,是
高一,男,6.6,1.5,1.0,2.0,0.4,1.2,0.1,0.5,70.8,20-40%,4,高中,是
高二,男,6.8,1.2,1.3,3.6,0.6,5.5,0.6,0.2,69.8,40-60%,5,高中,否
初三,女,7.3,2.0,1.0,1.9,1.5,4.1,0.1,0.8,77.4,20-40%,4,初中及以下,是
高三,女,6.9,2.8,0.2,1.1,0.8,1.7,0.5,0.0,76.5,20-40%,2,高中,是
高三,女,5.1,3.6,0.3,1.2,3.0,1.3,0.1,0.4,75.1,20-40%,2,高中,否
初二,男,8.4,2.1,0.5,2.8,0.9,1.3,0.3,0.3,82.1,20-40%,5,本科,否
高一,男,6.2,1.9,0.6,3.1,0.8,1.9,0.4,0.5,85.0,前20%,3,本科,否
初三,女,7.8,2.4,1.0,1.7,0.6,0.6,0.2,0.0,81.7,20-40%,2,初中及以下,是
初二,男,10.0,1.5,0.7,3.7,0.8,1.0,0.1,0.4,78.4,20-40%,4,高中,否
初一,女,6.4,6.3,0.2,1.2,0.7,0.4,0.1,0.4,92.2,前20%,4,高中,是
高一,女,4.5,1.0,0.8,2.6,1.1,1.6,0.0,0.4,62.6,40-60%,4,高中,是
高一,男,7.2,2.4,1.0,1.5,1.3,1.9,0.1,0.5,77.8,20-40%,3,研究生,否
初一,女,8.8,6.1,0.9,2.0,0.5,0.9,0.3,0.6,93.1,前20%,1,初中及以下,是
初二,女,9.9,2.2,1.4,2.8,0.3,3.7,0.8,0.8,78.3,20-40%,5,高中,是
高三,男,6.0,2.0,1.2,1.8,0.2,0.5,0.6,0.2,66.3,40-60%,3,高中,是
初二,女,8.1,1.9,0.9,2.2,1.0,0.4,0.4,0.9,71.8,20-40%,4,研究生,否
初一,男,6.9,2.0,0.6,4.5,0.4,1.4,0.5,0.3,65.5,40-60%,4,本科,否
高一,女,7.4,4.4,0.2,2.0,0.2,2.5,0.3,0.0,73.9,20-40%,4,高中,否
高三,男,10.7,0.7,0.9,4.1,0.9,4.0,0.1,0.0,69.1,40-60%,3,本科,否
初二,女,5.7,4.8,0.7,1.5,3.3,0.9,0.7,0.2,68.0,40-60%,3,本科,是
高二,男,7.8,1.1,0.8,3.5,0.7,2.6,0.3,0.8,73.3,20-40%,4,研究生,否
高二,男,8.1,1.9,0.2,5.6,1.2,1.2,0.2,0.6,84.4,20-40%,5,高中,是
初二,女,8.8,1.8,0.3,0.8,0.8,1.1,0.0,0.8,73.0,20-40%,5,研究生,是
高二,男,7.6,3.0,1.4,1.8,0.7,2.3,0.2,0.4,85.4,前20%,2,研究生,是
初三,男,7.9,1.0,0.6,3.6,1.3,1.9,0.2,0.3,72.7,20-40%,2,研究生,否
高一,女,7.0,2.8,1.0,2.5,0.6,0.4,0.6,0.1,88.6,前20%,5,本科,是
高一,女,7.8,6.1,0.6,3.3,0.9,3.4,0.2,0.2,77.9,20-40%,4,本科,是
高一,女,7.1,1.1,0.6,2.0,0.9,3.2,0.1,0.3,82.6,20-40%,5,高中,是
初一,女,8.2,2.4,1.3,2.8,0.5,0.8,1.1,0.0,66.9,40-60%,3,本科,是
高二,男,7.1,1.6,0.4,2.5,1.3,1.6,0.0,0.1,81.9,20-40%,4,本科,否
初三,男,8.0,2.8,0.7,4.9,0.7,1.7,0.2,0.5,77.7,20-40%,4,本科,否
初二,男,7.5,2.2,0.4,3.1,0.5,1.5,0.0,0.7,80.2,20-40%,4,本科,是
初一,女,8.9,1.6,0.4,3.2,1.0,0.8,0.4,3.2,63.7,40-60%,3,本科,否
高一,女,7.4,2.8,0.5,2.2,0.4,0.8,0.8,1.4,63.1,40-60%,1,研究生,是
高二,女,5.4,5.5,0.7,2.1,0.8,1.2,0.1,0.5,85.9,前20%,4,高中,是
初一,女,9.0,2.0,0.4,2.2,0.7,2.8,0.6,0.3,67.0,40-60%,3,研究生,否
高一,男,6.4,3.2,1.7,3.3,1.4,1.8,0.1,0.5,78.3,20-40%,3,本科,否
初二,男,6.7,1.2,0.3,2.2,1.0,0.9,0.7,0.8,65.5,40-60%,5,研究生,否
高一,男,6.8,1.4,0.5,3.1,0.7,2.1,0.4,0.1,77.7,20-40%,3,本科,否
初二,女,9.1,2.8,0.4,7.7,1.2,0.2,0.5,0.3,67.1,40-60%,4,高中,否
高二,男,4.9,4.7,1.9,4.2,1.7,2.7,0.0,0.9,77.1,20-40%,2,研究生,否
初三,女,11.0,2.7,0.7,2.3,1.0,0.4,1.0,0.2,86.8,前20%,4,高中,是
高三,男,8.8,1.9,1.4,5.0,0.7,0.9,0.4,0.4,73.0,20-40%,5,研究生,是
初一,男,7.8,2.2,0.2,2.2,0.3,0.6,0.1,0.4,76.6,20-40%,2,本科,是
初三,男,7.4,1.2,0.8,1.0,0.4,0.5,0.5,0.1,70.3,20-40%,1,本科,是
初一,女,7.8,3.0,1.2,1.6,0.6,2.8,0.1,0.2,71.5,20-40%,3,高中,否
高三,女,8.1,3.5,0.6,1.1,0.5,0.9,0.6,0.2,67.6,40-60%,2,本科,否
高三,男,8.3,1.8,1.4,2.3,0.7,1.6,0.0,0.0,60.9,40-60%,4,高中,否
初二,男,8.2,1.8,0.4,2.7,0.8,1.2,0.4,0.0,81.5,20-40%,5,初中及以下,否
高二,女,7.6,2.5,1.9,6.3,1.0,1.7,0.2,0.9,60.1,40-60%,3,高中,否
高二,男,7.3,1.8,3.8,3.2,0.7,1.3,0.0,0.2,74.2,20-40%,3,初中及以下,是
高一,女,7.3,2.2,0.5,2.4,1.0,0.5,0.1,0.4,72.0,20-40%,3,研究生,是
高一,女,7.3,6.4,0.4,4.1,0.8,2.5,0.0,0.2,88.4,前20%,4,研究生,否
初二,男,8.9,2.0,1.9,0.9,0.2,0.9,0.2,1.4,68.5,40-60%,1,高中,否
初一,男,8.2,1.9,2.1,3.1,0.4,0.4,0.1,0.2,74.3,20-40%,4,本科,否
高三,女,4.0,1.6,0.4,4.0,0.7,0.9,0.3,0.3,76.8,20-40%,4,高中,是
高三,男,8.3,3.2,0.4,1.3,0.4,3.5,0.1,1.0,81.1,20-40%,4,本科,是
高一,男,7.7,2.0,0.5,4.8,1.1,2.2,0.1,0.9,74.4,20-40%,3,本科,否
初三,女,7.5,1.6,0.2,3.2,1.9,1.0,0.4,0.1,79.2,20-40%,4,研究生,是
初三,女,7.0,4.3,0.3,2.2,1.5,1.0,0.0,0.8,63.3,40-60%,2,高中,是
高二,女,8.8,4.5,0.3,3.7,0.7,1.0,0.7,0.3,82.9,20-40%,2,本科,否
高三,女,8.6,1.6,0.3,8.5,1.8,5.2,0.6,0.3,78.7,20-40%,5,高中,是
高三,男,6.6,0.9,0.6,3.0,0.8,1.6,0.3,0.1,64.4,40-60%,4,研究生,否
高二,男,8.0,3.7,0.7,3.1,0.6,1.7,0.3,0.0,70.0,20-40%,1,初中及以下,是
高一,女,6.3,1.6,2.1,2.2,0.5,2.5,0.7,0.7,71.2,20-40%,3,本科,是
初一,女,5.8,3.3,0.3,1.8,0.6,1.4,0.1,0.3,73.6,20-40%,3,本科,是
初二,男,6.7,0.8,1.3,4.1,0.6,1.0,0.0,0.3,72.4,20-40%,3,本科,否
高三,女,8.5,3.5,0.5,1.8,0.8,1.1,0.1,0.7,89.4,前20%,3,初中及以下,是
高一,男,8.6,1.2,0.6,2.8,0.8,1.2,0.5,0.7,79.1,20-40%,2,研究生,否
初一,男,8.1,3.2,1.0,2.1,0.7,1.2,0.0,0.1,66.5,40-60%,3,高中,是
初一,男,8.4,2.2,0.2,3.5,1.0,2.0,0.3,0.5,81.4,20-40%,4,本科,否
高二,男,8.1,1.4,0.8,3.2,1.5,1.3,1.6,0.1,86.4,前20%,4,高中,是
初一,男,6.7,1.8,0.7,4.6,1.3,2.0,0.6,0.7,76.6,20-40%,4,高中,否
初二,男,8.0,3.1,0.9,2.1,0.3,1.2,0.2,0.5,82.7,20-40%,2,本科,否
高一,男,8.5,2.3,0.8,2.4,0.2,1.3,0.0,1.6,95.8,前20%,5,高中,否
高二,女,8.4,3.0,4.0,1.7,1.3,0.3,0.5,0.0,89.5,前20%,4,高中,是
高二,女,8.9,6.0,0.4,2.2,0.3,2.3,0.3,0.0,87.0,前20%,4,高中,是
初二,女,8.3,1.0,0.4,3.3,0.6,1.6,0.0,0.2,82.6,20-40%,4,高中,是
高二,女,7.9,5.0,0.4,4.0,0.4,2.5,0.0,0.2,84.4,20-40%,5,本科,否
初二,男,8.8,2.3,0.4,1.7,0.3,0.2,0.7,0.1,76.6,20-40%,3,研究生,否
初三,男,7.5,1.4,0.4,4.2,1.0,5.3,0.3,1.2,66.3,40-60%,3,初中及以下,否
高二,女,6.4,1.1,1.6,5.4,1.2,1.1,0.5,0.1,84.7,20-40%,4,高中,是
高一,男,7.3,2.0,1.9,3.3,0.5,2.7,0.6,0.2,68.6,40-60%,4,初中及以下,是
高二,女,6.6,3.5,0.4,6.9,0.2,0.6,0.3,0.7,87.7,前20%,4,初中及以下,是
高二,男,6.7,2.1,0.3,1.8,0.5,1.9,0.2,0.3,76.8,20-40%,3,本科,否
高一,女,7.3,4.7,0.9,1.5,0.9,0.6,0.2,0.7,66.2,40-60%,2,本科,否
初一,男,6.5,1.1,0.4,1.1,0.3,0.8,0.1,0.0,74.6,20-40%,3,高中,否
初三,女,7.1,2.2,1.0,5.7,0.8,4.7,0.2,0.3,58.3,40-60%,5,高中,是
初二,女,5.2,1.2,0.7,3.8,0.7,1.1,0.4,0.0,76.7,20-40%,4,初中及以下,否
初二,女,7.8,2.7,0.2,2.6,1.0,1.4,0.3,0.0,82.2,20-40%,3,研究生,否
高三,男,7.5,3.5,2.1,3.1,0.8,2.2,0.7,1.2,71.2,20-40%,3,研究生,是
初三,女,6.5,1.8,2.6,1.5,0.4,1.7,0.2,0.1,74.0,20-40%,3,初中及以下,否
高三,女,8.3,0.6,0.4,9.2,1.5,1.4,0.3,0.4,88.3,前20%,5,高中,否
高一,女,8.6,2.5,0.4,2.9,0.7,1.6,0.3,0.3,73.6,20-40%,4,研究生,否
高二,女,5.6,2.8,0.8,2.9,0.7,6.6,0.3,0.2,64.4,40-60%,4,研究生,否
高一,女,6.6,2.7,0.8,3.9,0.4,1.2,0.4,1.2,84.9,20-40%,3,高中,是
高一,男,6.6,4.1,1.0,3.5,0.6,1.4,0.1,0.0,94.6,前20%,4,初中及以下,是
高一,女,6.4,1.3,3.0,3.0,0.4,2.5,0.2,0.5,70.6,20-40%,3,初中及以下,否
初二,女,8.5,3.1,0.5,1.8,0.7,2.6,0.0,1.7,86.6,前20%,4,本科,是
高二,女,7.3,4.0,0.3,3.4,2.1,2.8,0.1,0.4,87.2,前20%,3,高中,否
初二,男,7.2,0.9,0.2,7.0,0.3,1.9,0.2,1.4,61.5,40-60%,3,初中及以下,否
初一,男,5.1,2.6,0.3,5.3,0.3,0.5,0.3,0.0,69.5,40-60%,4,本科,否
高一,女,8.3,1.7,0.6,6.0,1.8,3.8,0.9,0.3,85.8,前20%,5,初中及以下,否
初二,女,6.0,2.1,2.5,2.1,0.7,0.5,0.3,0.2,84.5,20-40%,2,本科,是
高三,男,7.6,2.6,0.4,1.7,0.5,1.5,0.4,0.7,82.1,20-40%,4,高中,是
高三,女,7.8,1.7,0.7,2.6,1.4,0.7,0.2,2.0,66.4,40-60%,3,初中及以下,是
高三,男,9.1,1.6,0.6,2.8,0.5,1.2,0.3,0.1,90.1,前20%,3,本科,是
初三,男,5.9,2.3,1.6,4.7,2.2,1.5,0.0,0.5,62.6,40-60%,1,高中,是
初一,男,4.0,1.3,4.0,1.2,1.1,1.5,0.1,0.1,67.8,40-60%,3,研究生,是
高三,男,7.7,1.3,0.4,5.8,0.6,1.6,0.1,0.4,72.7,20-40%,3,本科,否
初三,女,9.7,3.1,0.4,2.5,2.7,3.8,0.2,0.3,87.4,前20%,2,高中,否
高三,男,9.0,1.3,1.4,2.2,0.5,1.7,0.0,1.8,80.0,20-40%,3,本科,是
高三,女,7.8,3.1,1.0,1.6,1.2,1.0,0.0,0.5,85.2,前20%,5,高中,是
高三,女,6.9,2.8,2.7,1.2,0.9,2.4,0.1,0.2,76.7,20-40%,2,研究生,否
